"id","user_id","model_type","model_id","action","changes","comments","created_at","updated_at"
"1","1","App\Models\Attendance","413","create","{""after"":{""student_id"":9,""subject_id"":1,""date"":""2024-01-03T00:00:00.000000Z"",""status"":""present"",""updated_at"":""2025-07-05T01:19:20.000000Z"",""created_at"":""2025-07-05T01:19:20.000000Z"",""id"":413}}",NULL,"2025-07-05 01:19:20","2025-07-05 01:19:20"
"2","1","App\Models\Attendance","414","create","{""after"":{""student_id"":18,""subject_id"":1,""date"":""2025-07-05T00:00:00.000000Z"",""status"":""present"",""updated_at"":""2025-07-05T01:21:27.000000Z"",""created_at"":""2025-07-05T01:21:27.000000Z"",""id"":414}}",NULL,"2025-07-05 01:21:27","2025-07-05 01:21:27"
"3","1","App\Models\Grade","652","create","{""after"":{""evaluation_type"":""evaluacion"",""score"":""0.00"",""promedio_final"":""10.00"",""puntos_faltantes"":""0.00"",""estado"":""Aprobado"",""student_id"":22,""subject_id"":2,""evaluations"":[{""P"":""10.00"",""Pr"":""10.00"",""A"":""10.00"",""E"":""10.00"",""Ex"":""0.00"",""Prom"":""10.00""},{""P"":""0.00"",""Pr"":""0.00"",""A"":""0.00"",""E"":""0.00"",""Ex"":""0.00"",""Prom"":""0.00""},{""P"":""0.00"",""Pr"":""0.00"",""A"":""0.00"",""E"":""0.00"",""Ex"":""0.00"",""Prom"":""0.00""},{""P"":""0.00"",""Pr"":""0.00"",""A"":""0.00"",""E"":""0.00"",""Ex"":""0.00"",""Prom"":""0.00""}],""updated_at"":""2025-07-05T01:32:25.000000Z"",""created_at"":""2025-07-05T01:32:25.000000Z"",""id"":652}}",NULL,"2025-07-05 01:32:25","2025-07-05 01:32:25"
"4","1","App\Models\Grade","652","create","{""after"":{""id"":652,""student_id"":22,""subject_id"":2,""evaluation_type"":""evaluacion"",""score"":""0.00"",""promedio_final"":""8.13"",""puntos_faltantes"":""0.00"",""date"":null,""feedback"":null,""teamwork"":null,""project"":null,""attendance"":null,""exam"":null,""extra"":null,""evaluations"":[{""P"":""10.00"",""Pr"":""10.00"",""A"":""10.00"",""E"":""10.00"",""Ex"":""0.00"",""Prom"":""10.00""},{""P"":""10.00"",""Pr"":""5.00"",""A"":""5.00"",""E"":""5.00"",""Ex"":""0.00"",""Prom"":""6.25""},{""P"":""0.00"",""Pr"":""0.00"",""A"":""0.00"",""E"":""0.00"",""Ex"":""0.00"",""Prom"":""0.00""},{""P"":""0.00"",""Pr"":""0.00"",""A"":""0.00"",""E"":""0.00"",""Ex"":""0.00"",""Prom"":""0.00""}],""migrado_split"":0,""created_at"":""2025-07-05T01:32:25.000000Z"",""updated_at"":""2025-07-05T01:32:41.000000Z"",""period"":null,""opportunity"":null,""competencies"":null,""observations"":null,""evaluation_date"":null,""estado"":""Aprobado"",""faltantes"":null}}",NULL,"2025-07-05 01:32:41","2025-07-05 01:32:41"
"5","1","App\Models\Attendance","415","create","{""after"":{""student_id"":15,""subject_id"":1,""date"":""2025-07-05T00:00:00.000000Z"",""status"":""present"",""updated_at"":""2025-07-05T02:21:10.000000Z"",""created_at"":""2025-07-05T02:21:10.000000Z"",""id"":415}}",NULL,"2025-07-05 02:21:10","2025-07-05 02:21:10"
"6","1","App\Models\Attendance","416","create","{""after"":{""student_id"":15,""subject_id"":2,""date"":""2025-07-05T00:00:00.000000Z"",""status"":""present"",""updated_at"":""2025-07-05T02:21:12.000000Z"",""created_at"":""2025-07-05T02:21:12.000000Z"",""id"":416}}",NULL,"2025-07-05 02:21:12","2025-07-05 02:21:12"
"7","1","App\Models\Attendance","417","create","{""after"":{""student_id"":15,""subject_id"":3,""date"":""2025-07-05T00:00:00.000000Z"",""status"":""present"",""updated_at"":""2025-07-05T02:21:15.000000Z"",""created_at"":""2025-07-05T02:21:15.000000Z"",""id"":417}}",NULL,"2025-07-05 02:21:15","2025-07-05 02:21:15"
"8","1","App\Models\Attendance","418","create","{""after"":{""student_id"":15,""subject_id"":4,""date"":""2025-07-05T00:00:00.000000Z"",""status"":""present"",""updated_at"":""2025-07-05T02:21:18.000000Z"",""created_at"":""2025-07-05T02:21:18.000000Z"",""id"":418}}",NULL,"2025-07-05 02:21:18","2025-07-05 02:21:18"
"9","1","App\Models\Attendance","419","create","{""after"":{""student_id"":15,""subject_id"":5,""date"":""2025-07-05T00:00:00.000000Z"",""status"":""present"",""updated_at"":""2025-07-05T02:21:21.000000Z"",""created_at"":""2025-07-05T02:21:21.000000Z"",""id"":419}}",NULL,"2025-07-05 02:21:21","2025-07-05 02:21:21"
"10","1","App\Models\Grade","322","create","{""after"":{""id"":322,""student_id"":15,""subject_id"":1,""evaluation_type"":""evaluacion"",""score"":""3.95"",""promedio_final"":""8.80"",""puntos_faltantes"":""0.00"",""date"":""2025-01-15"",""feedback"":"""",""teamwork"":""4.00"",""project"":""4.00"",""attendance"":""4.00"",""exam"":""4.00"",""extra"":""4.00"",""evaluations"":[{""P"":""10.00"",""Pr"":""10.00"",""A"":""10.00"",""E"":""10.00"",""Ex"":""4.00"",""Prom"":""8.80""},{""P"":""0.00"",""Pr"":""0.00"",""A"":""0.00"",""E"":""0.00"",""Ex"":""0.00"",""Prom"":""0.00""},{""P"":""0.00"",""Pr"":""0.00"",""A"":""0.00"",""E"":""0.00"",""Ex"":""0.00"",""Prom"":""0.00""},{""P"":""0.00"",""Pr"":""0.00"",""A"":""0.00"",""E"":""0.00"",""Ex"":""0.00"",""Prom"":""0.00""}],""migrado_split"":0,""created_at"":""2025-06-27T01:33:53.000000Z"",""updated_at"":""2025-07-05T02:22:07.000000Z"",""period"":""Primer Semestre"",""opportunity"":""Primera"",""competencies"":"""",""observations"":"""",""evaluation_date"":""2025-07-01T00:00:00.000000Z"",""estado"":""Aprobado"",""faltantes"":null}}",NULL,"2025-07-05 02:22:07","2025-07-05 02:22:07"
