"id","student_id","risk_score","risk_level","performance_metrics","behavior_patterns","intervention_recommendations","progress_metrics","notes","created_at","updated_at"
"1","9","0","bajo","{""attendance_rate"":1,""grade_average"":9.349999999999998,""failed_subjects"":15,""recent_improvement"":0}",NULL,"[{""type"":""success"",""priority"":""low"",""message"":""\u00a1Felicidades! El estudiante mantiene un buen desempe\u00f1o acad\u00e9mico y asistencia. Motivar a continuar as\u00ed.""}]","{""academic_progress"":{""current_average"":9.349999999999998,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":1,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"2","10","0","bajo","{""attendance_rate"":1,""grade_average"":9.349999999999998,""failed_subjects"":15,""recent_improvement"":0}",NULL,"[{""type"":""success"",""priority"":""low"",""message"":""\u00a1Felicidades! El estudiante mantiene un buen desempe\u00f1o acad\u00e9mico y asistencia. Motivar a continuar as\u00ed.""}]","{""academic_progress"":{""current_average"":9.349999999999998,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":1,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"3","11","0","bajo","{""attendance_rate"":1,""grade_average"":9.344444444444443,""failed_subjects"":16,""recent_improvement"":0}",NULL,"[{""type"":""success"",""priority"":""low"",""message"":""\u00a1Felicidades! El estudiante mantiene un buen desempe\u00f1o acad\u00e9mico y asistencia. Motivar a continuar as\u00ed.""}]","{""academic_progress"":{""current_average"":9.344444444444443,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":1,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"4","12","0","bajo","{""attendance_rate"":1,""grade_average"":9.3,""failed_subjects"":20,""recent_improvement"":0}",NULL,"[{""type"":""success"",""priority"":""low"",""message"":""\u00a1Felicidades! El estudiante mantiene un buen desempe\u00f1o acad\u00e9mico y asistencia. Motivar a continuar as\u00ed.""}]","{""academic_progress"":{""current_average"":9.3,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":1,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"5","13","0","bajo","{""attendance_rate"":1,""grade_average"":9.3,""failed_subjects"":20,""recent_improvement"":0}",NULL,"[{""type"":""success"",""priority"":""low"",""message"":""\u00a1Felicidades! El estudiante mantiene un buen desempe\u00f1o acad\u00e9mico y asistencia. Motivar a continuar as\u00ed.""}]","{""academic_progress"":{""current_average"":9.3,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":1,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"6","14","0","alto","{""attendance_rate"":0,""grade_average"":3.9300000000000006,""failed_subjects"":25,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":3.9300000000000006,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"7","15","0","alto","{""attendance_rate"":0.5,""grade_average"":3.945,""failed_subjects"":25,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":3.945,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0.5,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:45:42"
"8","16","0","alto","{""attendance_rate"":0,""grade_average"":3.95,""failed_subjects"":25,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":3.95,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"9","17","0","alto","{""attendance_rate"":0,""grade_average"":3.95,""failed_subjects"":25,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":3.95,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"10","18","0","alto","{""attendance_rate"":0.16666666666666666,""grade_average"":3.95,""failed_subjects"":25,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":3.95,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0.16666666666666666,""trend"":""improving""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"11","19","0","alto","{""attendance_rate"":0,""grade_average"":6.200000000000001,""failed_subjects"":25,""recent_improvement"":-1}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":6.200000000000001,""trend"":""declining"",""improvement_rate"":-100},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"12","20","0","alto","{""attendance_rate"":0,""grade_average"":6.200000000000001,""failed_subjects"":25,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":6.200000000000001,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"13","21","0","alto","{""attendance_rate"":0,""grade_average"":6.2112500000000015,""failed_subjects"":25,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":6.2112500000000015,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"14","22","0","alto","{""attendance_rate"":0.16666666666666666,""grade_average"":3.115,""failed_subjects"":6,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":3.115,""trend"":""improving"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0.16666666666666666,""trend"":""improving""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"15","23","0","alto","{""attendance_rate"":0.16666666666666666,""grade_average"":0,""failed_subjects"":0,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":0,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0.16666666666666666,""trend"":""improving""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"16","24","0","alto","{""attendance_rate"":0,""grade_average"":0,""failed_subjects"":0,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":0,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"17","25","0","alto","{""attendance_rate"":0,""grade_average"":0,""failed_subjects"":5,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":0,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"18","26","0","alto","{""attendance_rate"":0,""grade_average"":0,""failed_subjects"":0,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":0,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"19","27","0","alto","{""attendance_rate"":0,""grade_average"":0,""failed_subjects"":0,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":0,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"20","28","0","alto","{""attendance_rate"":0.5,""grade_average"":0,""failed_subjects"":0,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":0,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0.5,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"21","29","0","alto","{""attendance_rate"":0,""grade_average"":0,""failed_subjects"":0,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":0,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"22","30","0","alto","{""attendance_rate"":0,""grade_average"":0,""failed_subjects"":0,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":0,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
"23","31","0","alto","{""attendance_rate"":0,""grade_average"":0,""failed_subjects"":0,""recent_improvement"":0}",NULL,"[{""type"":""critical"",""priority"":""high"",""message"":""El estudiante presenta bajo promedio y baja asistencia. Programar intervenci\u00f3n inmediata, tutor\u00edas personalizadas y contacto con padres.""},{""type"":""attendance"",""priority"":""high"",""message"":""Implementar plan urgente de mejora de asistencia.""},{""type"":""academic"",""priority"":""high"",""message"":""Asignar actividades de recuperaci\u00f3n y reforzar materias con bajo desempe\u00f1o.""}]","{""academic_progress"":{""current_average"":0,""trend"":""stable"",""improvement_rate"":0},""attendance_progress"":{""current_rate"":0,""trend"":""stable""}}",NULL,"2025-06-27 09:16:18","2025-07-05 02:19:36"
